dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,used_shap,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
Apache,Mutual Information Feature Selection,0.2,0.1,instruction,13,0.0633761000353843,0.8450146671384573,0.7733333333333333,0.7,0.3333333333333333,0.45161290322580644,0.6543778801843317,0.5568783068783069,0.5568783068783069,0.5030045098028006,0.1918365024405356,0.14568173614109203,0.22666666666666666,3.0,225.0,1.2,90.0,0.0,0.0,142.82666666666665,10712.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,520.5866666666667,39044.0,51.08,3831.0,0.4,0.0,0.0,0.6,0.7272727272727273,0.7256428644606085,0.0,3.5059902000357397,3.0,,,,,,,,,,,1.0612903225806452,-0.026080988332189414
Apache,Mutual Information Feature Selection,0.3,0.1,instruction,13,0.10104179999325424,1.3472239999100566,0.7733333333333333,0.75,0.2857142857142857,0.41379310344827586,0.6366486178398404,0.599647266313933,0.599647266313933,0.4602774317576925,0.19035946010974822,0.11480535777692202,0.22666666666666666,3.0,225.0,1.2133333333333334,91.0,0.0,0.0,142.93333333333334,10720.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,520.0666666666667,39005.0,50.57333333333333,3793.0,0.40444444444444444,0.0,0.0,0.6066666666666667,0.7272727272727273,0.7251634405845404,0.0,3.5059902000357397,3.0,,,,,,,,,,,0.9724137931034482,0.011738811445341168
Apache,Mutual Information Feature Selection,0.4,0.1,instruction,13,0.07434239995200187,0.9912319993600249,0.7866666666666666,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.648711943793911,0.6371252204585538,0.6371252204585538,0.5626768935801355,0.1863217851861077,0.12474060365200848,0.21333333333333335,3.0,225.0,1.6266666666666667,122.0,0.0,0.0,143.25333333333333,10744.0,0.0,0.0,12.0,900.0,3.0,225.0,1.0,75.0,568.24,42618.0,50.2,3765.0,0.5422222222222223,0.0,0.0,0.5422222222222223,0.75,0.7478999483786193,0.0,3.5059902000357397,3.0,,,,,,,,,,,1.0071428571428571,-0.003039513677811523
Apache,Mutual Information Feature Selection,0.5,0.1,instruction,13,0.08757649996550754,1.167686666206767,0.76,1.0,0.14285714285714285,0.25,0.5535714285714286,0.6865079365079367,0.6865079365079367,0.5315134150898433,0.18830756144057603,0.09490600477669879,0.24,3.0,225.0,2.04,153.0,0.0,0.0,143.46666666666667,10760.0,0.0,0.0,13.0,975.0,4.0,300.0,1.0,75.0,617.8266666666667,46337.0,51.42666666666667,3857.0,0.68,0.0,0.0,0.51,0.7692307692307692,0.7677881606491572,0.0,3.5059902000357397,3.0,,,,,,,,,,,0.5875,0.17553191489361702
Apache,Embedding Similarity Selection,0.0,0.1,instruction,13,0.3685455999802798,4.913941333070397,0.5333333333333333,0.37037037037037035,0.9523809523809523,0.5333333333333333,0.5333333333333333,0.6675485008818342,0.6675485008818342,0.40204025705320556,0.2431137645302593,0.254599143765382,0.4666666666666667,3.0,225.0,0.0,0.0,1.0,75.0,134.42666666666668,10082.0,51.0,3825.0,9.0,675.0,0.0,0.0,1.0,75.0,423.73333333333335,31780.0,51.0,3825.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6827564505978603,0.3793890101170403,0.41145350004080683,3.0,,,,,,,,,,,1.0,0.0
Apache,Embedding Similarity Selection,0.1,0.1,instruction,13,0.3823183999629691,5.097578666172922,0.5333333333333333,0.37037037037037035,0.9523809523809523,0.5333333333333333,0.5333333333333333,0.6507936507936508,0.6507936507936508,0.39016280770179274,0.24325575566049443,0.25372428369804306,0.4666666666666667,3.0,225.0,0.04,3.0,1.0,75.0,133.64,10023.0,50.38666666666666,3779.0,10.0,750.0,1.0,75.0,1.0,75.0,471.50666666666666,35363.0,50.38666666666666,3779.0,0.013333333333333334,0.3333333333333333,1.0,0.04,0.7,0.7165681644656845,0.3770328245036416,0.41145350004080683,3.0,,,,,,,,,,,1.0,0.0
Apache,Embedding Similarity Selection,0.2,0.1,instruction,13,0.3958122999756597,5.277497333008796,0.5333333333333333,0.37037037037037035,0.9523809523809523,0.5333333333333333,0.5333333333333333,0.6600529100529101,0.6600529100529101,0.3965010655594409,0.24487817155956199,0.25672255524267523,0.4666666666666667,3.0,225.0,0.10666666666666667,8.0,1.0,75.0,134.34666666666666,10076.0,51.08,3831.0,11.0,825.0,2.0,150.0,1.0,75.0,520.5866666666667,39044.0,51.08,3831.0,0.035555555555555556,0.3333333333333333,1.0,0.05333333333333334,0.7272727272727273,0.7419321790800123,0.38021040095275904,0.41145350004080683,3.0,,,,,,,,,,,1.0,0.0
Apache,Embedding Similarity Selection,0.3,0.1,instruction,13,0.3977591000148095,5.303454666864127,0.5333333333333333,0.37037037037037035,0.9523809523809523,0.5333333333333333,0.5333333333333333,0.626984126984127,0.626984126984127,0.3772867656515455,0.24558526691802204,0.25847085985801327,0.4666666666666667,3.0,225.0,0.09333333333333334,7.0,1.0,75.0,133.85333333333332,10039.0,50.57333333333333,3793.0,11.0,825.0,2.0,150.0,1.0,75.0,520.0666666666667,39005.0,50.57333333333333,3793.0,0.03111111111111111,0.3333333333333333,1.0,0.04666666666666667,0.7272727272727273,0.7426227406742725,0.37782647674071124,0.41145350004080683,3.0,,,,,,,,,,,1.0,0.0
Apache,Embedding Similarity Selection,0.4,0.1,instruction,13,0.3929916999768466,5.239889333024621,0.5333333333333333,0.37037037037037035,0.9523809523809523,0.5333333333333333,0.5333333333333333,0.664021164021164,0.664021164021164,0.4012680562810048,0.2460088865785567,0.259727856812871,0.4666666666666667,3.0,225.0,0.14666666666666667,11.0,1.0,75.0,133.52,10014.0,50.2,3765.0,12.0,900.0,3.0,225.0,1.0,75.0,568.24,42618.0,50.2,3765.0,0.04888888888888889,0.3333333333333333,1.0,0.04888888888888889,0.75,0.765028861044629,0.37597363690832836,0.41145350004080683,3.0,,,,,,,,,,,1.0,0.0
Apache,Embedding Similarity Selection,0.5,0.1,instruction,13,0.4202149999910034,5.602866666546713,0.5333333333333333,0.37037037037037035,0.9523809523809523,0.5333333333333333,0.5333333333333333,0.7231040564373898,0.7231040564373898,0.4645900065127379,0.24621344806550813,0.2841172640007326,0.4666666666666667,3.0,225.0,0.13333333333333333,10.0,1.0,75.0,134.74666666666667,10106.0,51.42666666666667,3857.0,13.0,975.0,4.0,300.0,1.0,75.0,617.8266666666667,46337.0,51.42666666666667,3857.0,0.044444444444444446,0.3333333333333333,1.0,0.03333333333333333,0.7692307692307692,0.7819021516282885,0.38165446269542846,0.41145350004080683,3.0,,,,,,,,,,,1.0,0.0
