dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
UNSW_NB15,Random-k Selection,0.4,0.1,instruction,2,random_forest,0.12075280002318323,1.610037333642443,0.6666666666666666,0.6666666666666666,1.0,0.8,0.4,0.9216,0.9216,0.9612179010699236,0.1700820389065022,0.16129501459175188,0.3333333333333333,3.0,225.0,0.6133333333333333,46.0,0.32,24.0,250.78666666666666,18809.0,17.413333333333334,1306.0,12.0,900.0,3.0,225.0,1.0,75.0,1011.8133333333334,75886.0,53.8,4035.0,0.20444444444444446,0.10666666666666667,0.32,0.20444444444444446,0.75,0.7521413699496613,0.06943484502100059,6.00004568696022e-07,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Random-k Selection,0.5,0.1,instruction,2,random_forest,0.11851689999457449,1.5802253332609932,0.6666666666666666,0.6666666666666666,1.0,0.8,0.4,0.888,0.888,0.9488693951235035,0.17170901842865915,0.17751229065122226,0.3333333333333333,3.0,225.0,0.9733333333333334,73.0,0.18666666666666668,14.0,254.68,19101.0,9.573333333333334,718.0,13.0,975.0,4.0,300.0,1.0,75.0,1098.3333333333333,82375.0,53.026666666666664,3977.0,0.3244444444444444,0.06222222222222222,0.18666666666666668,0.24333333333333335,0.7692307692307692,0.7681213960546283,0.03758965499188524,6.00004568696022e-07,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,TF-IDF/BM25 Selection,0.0,0.1,instruction,2,random_forest,0.15715340001042932,2.095378666805724,0.9466666666666667,0.9259259259259259,1.0,0.9615384615384616,0.9372909698996655,0.9888,0.9888,0.9941886372646436,0.09475289221021616,0.19922555358744862,0.05333333333333334,3.0,225.0,0.0,0.0,0.44,33.0,245.74666666666667,18431.0,22.6,1695.0,9.0,675.0,0.0,0.0,1.0,75.0,750.9466666666667,56321.0,54.093333333333334,4057.0,0.0,0.14666666666666667,0.44,0.0,0.6666666666666667,0.6727508389410699,0.0919646248168846,0.06979849998606369,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,TF-IDF/BM25 Selection,0.1,0.1,instruction,2,random_forest,0.1474871999816969,1.9664959997559588,0.92,0.9074074074074074,0.98,0.9423076923076923,0.9059364548494984,0.98,0.98,0.9903580588620937,0.11650847825287712,0.21620661977345473,0.08,3.0,225.0,0.48,36.0,0.4533333333333333,34.0,244.86666666666667,18365.0,22.85333333333333,1714.0,10.0,750.0,1.0,75.0,1.0,75.0,837.0933333333334,62782.0,53.13333333333333,3985.0,0.16,0.1511111111111111,0.4533333333333333,0.48,0.7,0.707479850912682,0.09332970323985842,0.06979849998606369,3.0,,,,,,,,,,0.98,0.019230769230769273
UNSW_NB15,TF-IDF/BM25 Selection,0.2,0.1,instruction,2,random_forest,0.152062900015153,2.027505333535373,0.8266666666666667,0.9512195121951219,0.78,0.8571428571428571,0.8184019370460048,0.9152,0.9152,0.965798511665389,0.14374344436026537,0.16374258658540464,0.17333333333333334,3.0,225.0,1.1333333333333333,85.0,0.4533333333333333,34.0,245.05333333333334,18379.0,23.173333333333332,1738.0,11.0,825.0,2.0,150.0,1.0,75.0,924.1466666666666,69311.0,53.08,3981.0,0.37777777777777777,0.1511111111111111,0.4533333333333333,0.5666666666666667,0.7272727272727273,0.7348328548138102,0.09456444855541651,0.06979849998606369,3.0,,,,,,,,,,0.8914285714285713,0.10439560439560447
UNSW_NB15,TF-IDF/BM25 Selection,0.3,0.1,instruction,2,random_forest,0.17270559997996315,2.3027413330661752,0.8666666666666667,0.9545454545454546,0.84,0.8936170212765957,0.8575227963525835,0.9192,0.9192,0.9634827357018639,0.13868005683511028,0.1866874012610372,0.13333333333333333,3.0,225.0,1.04,78.0,0.37333333333333335,28.0,247.74666666666667,18581.0,18.85333333333333,1414.0,11.0,825.0,2.0,150.0,1.0,75.0,924.04,69303.0,53.026666666666664,3977.0,0.3466666666666667,0.12444444444444444,0.37333333333333335,0.52,0.7272727272727273,0.7318875084772665,0.07609924116032506,0.06979849998606369,3.0,,,,,,,,,,0.9293617021276595,0.06792144026186586
UNSW_NB15,TF-IDF/BM25 Selection,0.4,0.1,instruction,2,random_forest,0.14752639998914674,1.9670186665219564,0.7733333333333333,0.9230769230769231,0.72,0.8089887640449438,0.76515011972739,0.8408,0.8408,0.9339336411662291,0.17473178657055072,0.15792451783935577,0.22666666666666666,3.0,225.0,1.48,111.0,0.3333333333333333,25.0,249.45333333333335,18709.0,17.133333333333333,1285.0,12.0,900.0,3.0,225.0,1.0,75.0,1011.8133333333334,75886.0,53.8,4035.0,0.49333333333333335,0.1111111111111111,0.3333333333333333,0.49333333333333335,0.75,0.7534591360725298,0.06868352129990914,0.06979849998606369,3.0,,,,,,,,,,0.8413483146067415,0.15254969749351777
UNSW_NB15,TF-IDF/BM25 Selection,0.5,0.1,instruction,2,random_forest,0.16429630003403872,2.190617333787183,0.68,0.9642857142857143,0.54,0.6923076923076923,0.6794871794871795,0.7111999999999999,0.7111999999999999,0.8770140616537412,0.24555438939822213,0.22675030492348086,0.32,3.0,225.0,1.9866666666666666,149.0,0.25333333333333335,19.0,252.12,18909.0,12.813333333333333,961.0,13.0,975.0,4.0,300.0,1.0,75.0,1098.3333333333333,82375.0,53.026666666666664,3977.0,0.6622222222222223,0.08444444444444445,0.25333333333333335,0.49666666666666665,0.7692307692307692,0.7704522003034902,0.050822359722883285,0.06979849998606369,3.0,,,,,,,,,,0.72,0.2692307692307693
UNSW_NB15,Mutual Information Feature Selection,0.0,0.1,instruction,2,random_forest,0.1601914000348188,2.135885333797584,0.8,0.7692307692307693,1.0,0.8695652173913043,0.7204968944099379,0.9600000000000001,0.9600000000000001,0.9772989192823148,0.12405967486168495,0.14052616835645962,0.2,3.0,225.0,0.0,0.0,0.0,0.0,261.56,19617.0,0.0,0.0,9.0,675.0,0.0,0.0,1.0,75.0,750.9466666666667,56321.0,54.093333333333334,4057.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6516929742014523,0.0,6.579544500040356,3.0,,,,,,,,,,1.0,0.0
UNSW_NB15,Mutual Information Feature Selection,0.1,0.1,instruction,2,random_forest,0.17317650001496077,2.3090200001994767,0.8266666666666667,0.7936507936507936,1.0,0.8849557522123894,0.766802200430519,0.9496,0.9496,0.9700414015793437,0.12499392032022551,0.18657065988962085,0.17333333333333334,3.0,225.0,0.37333333333333335,28.0,0.0,0.0,261.53333333333336,19615.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,837.0933333333334,62782.0,53.13333333333333,3985.0,0.12444444444444444,0.0,0.0,0.37333333333333335,0.7,0.687569685578669,0.0,6.579544500040356,3.0,,,,,,,,,,1.0176991150442478,-0.0153905348210851
